right_hip_pitch,right_hip_roll,right_hip_slide,right_ankle_roll,right_ankle_pitch,left_hip_pitch,left_hip_roll,left_hip_slide,left_ankle_roll,left_ankle_pitch,zmpx,zmpy
0.11153,-0.22494,-0.01287,0.22494,-0.11153,-0.016797,-0.22616,-0.008727,0.22616,0.016797,0,0
0.11159,-0.22532,-0.01288,0.22532,-0.11159,-0.016703,-0.22653,-0.008774,0.22653,0.016703,0,0
0.11166,-0.2257,-0.012887,0.2257,-0.11166,-0.016609,-0.2269,-0.00882,0.2269,0.016609,0,0
0.11171,-0.22607,-0.012891,0.22607,-0.11171,-0.016516,-0.22727,-0.008866,0.22727,0.016516,0,0
0.11177,-0.22645,-0.012891,0.22645,-0.11177,-0.016423,-0.22763,-0.008912,0.22763,0.016423,0,0
0.11182,-0.22682,-0.012889,0.22682,-0.11182,-0.01633,-0.228,-0.008957,0.228,0.01633,0,0
0.11188,-0.2272,-0.012883,0.2272,-0.11188,-0.016237,-0.22836,-0.009002,0.22836,0.016237,0,0
0.11193,-0.22757,-0.012874,0.22757,-0.11193,-0.016145,-0.22872,-0.009046,0.22872,0.016145,0,0
0.11197,-0.22794,-0.012861,0.22794,-0.11197,-0.016053,-0.22907,-0.009089,0.22907,0.016053,0,0
0.11202,-0.22831,-0.012845,0.22831,-0.11202,-0.015962,-0.22943,-0.009133,0.22943,0.015962,0,0
0.11206,-0.22868,-0.012826,0.22868,-0.11206,-0.015871,-0.22978,-0.009175,0.22978,0.015871,0,0
0.1121,-0.22905,-0.012803,0.22905,-0.1121,-0.01578,-0.23013,-0.009218,0.23013,0.01578,0,0
0.11213,-0.22942,-0.012777,0.22942,-0.11213,-0.01569,-0.23048,-0.00926,0.23048,0.01569,0,0
0.11216,-0.22979,-0.012748,0.22979,-0.11216,-0.0156,-0.23083,-0.009301,0.23083,0.0156,0,0
0.11219,-0.23015,-0.012714,0.23015,-0.11219,-0.01551,-0.23118,-0.009342,0.23118,0.01551,0,0
0.11222,-0.23052,-0.012677,0.23052,-0.11222,-0.01542,-0.23152,-0.009382,0.23152,0.01542,0,0
0.11224,-0.23088,-0.012637,0.23088,-0.11224,-0.015331,-0.23186,-0.009422,0.23186,0.015331,0,0
0.11227,-0.23124,-0.012593,0.23124,-0.11227,-0.015242,-0.2322,-0.009461,0.2322,0.015242,0,0
0.11228,-0.2316,-0.012545,0.2316,-0.11228,-0.015154,-0.23254,-0.0095,0.23254,0.015154,0,0
0.1123,-0.23197,-0.012494,0.23197,-0.1123,-0.015066,-0.23287,-0.009538,0.23287,0.015066,0,0
0.11231,-0.23233,-0.012439,0.23233,-0.11231,-0.014978,-0.23321,-0.009575,0.23321,0.014978,0,0
0.11232,-0.23268,-0.01238,0.23268,-0.11232,-0.014891,-0.23354,-0.009613,0.23354,0.014891,0,0
0.11232,-0.23304,-0.012318,0.23304,-0.11232,-0.014804,-0.23387,-0.009649,0.23387,0.014804,0,0
0.11232,-0.2334,-0.012252,0.2334,-0.11232,-0.014717,-0.2342,-0.009685,0.2342,0.014717,0,0
0.11232,-0.23376,-0.012182,0.23376,-0.11232,-0.01463,-0.23452,-0.009721,0.23452,0.01463,0,0
0.11232,-0.23411,-0.012108,0.23411,-0.11232,-0.014544,-0.23485,-0.009756,0.23485,0.014544,0,0
